years_since_publication,Denkenberger 2014 — Feeding everyo…,Denkenberger 2015 — Feeding Everyo…,Denkenberger 2017 — Feeding everyo…,Denkenberger 2016 — Cost-Effective…,Denkenberger 2018 — Food without s…
0,0.0,1.0,1.0,0.0,0.0
1,3.0,2.0,4.0,1.0,2.0
2,6.0,6.0,5.0,6.0,6.0
3,10.0,11.0,8.0,8.0,17.0
4,18.0,14.0,16.0,10.0,21.0
5,21.0,19.0,22.0,17.0,25.0
6,27.0,33.0,32.0,22.0,31.0
7,38.0,40.0,43.0,29.0,32.0
8,46.0,48.0,46.0,32.0,33.0
9,56.0,55.0,49.0,34.0,33.0
10,68.0,57.0,49.0,34.0,33.0
11,70.0,57.0,49.0,34.0,33.0
12,70.0,57.0,49.0,34.0,33.0
