years_since_publication,Kemp 2022 — Climate Endgame: Explo…,Beard 2021 — Assessing climate cha…,Kemp 2016 — US-proofing the Paris …,Tang 2021 — A Fate Worse Than Warm…,Kemp 2020 — Bioengineering horizon…
0,48.0,8.0,0.0,0.0,2.0
1,330.0,35.0,6.0,8.0,6.0
2,550.0,53.0,13.0,20.0,27.0
3,711.0,84.0,19.0,34.0,34.0
4,755.0,96.0,27.0,47.0,39.0
5,755.0,97.0,31.0,52.0,46.0
6,755.0,97.0,34.0,52.0,47.0
7,755.0,97.0,41.0,52.0,47.0
8,755.0,97.0,43.0,52.0,47.0
9,755.0,97.0,58.0,52.0,47.0
10,755.0,97.0,58.0,52.0,47.0
